"Localization Key","English","Polish"
"COMBAT.Begin","Begin Encounter","Rozpocznij Starcie"
"COMBAT.CombatantNotInScene","The participant {name} is not present in your currently viewed scene.","Uczestnik starcia {name} nie jest obecny na obecnie wybranej scenie."
"COMBAT.CombatantRemove","Remove Participant","Usuń Uczestnika"
"COMBAT.CombatantStatus","Participant Status","Status Uczestnika"
"COMBAT.CombatantUpdate","Update Participant","Aktualizuj Uczestnika"
"COMBAT.End","End Encounter","Zakończ Starcie"
"COMBAT.EndConfirmation","End this encounter and empty the turn tracker?","Zakończyć starcie i wyczyścić okno walki?"
"COMBAT.EndTitle","End Encounter?","Zakończyć Starcie?"
"COMBAT.NoneActive","There is no active Encounter in your currently viewed Scene.","Na obecnie wyświetlanej scenie nie ma żadnego aktywnego Starcia."
"COMBAT.NoneRemaining","There are no participants remaining in this Encounter that are not defeated.","W tym Starciu nie pozostał już żaden aktywny uczestnik."
"COMBAT.PingCombatant","Ping Token","Wskaż Żeton"
"COMBAT.PingInvisibleToken","You can't see this participant's token.","Nie widzisz żetonu tego uczestnika starcia."
"COMBAT.ResourceHint","Choose an attribute to track for each participant.","Wybierz atrybuty śledzone dla poszczególnych uczestników starcia."
"COMBAT.Settings","Encounter Tracker Settings","Ustawienia Okna Starcia"
"COMBAT.SidebarTitle","Encounter Tracker","Okno Starcia"
"COMBAT.SkipDefeatedHint","Automatically bypass participants marked as defeated?","Czy automatycznie pomijać uczestników starcia oznaczonych jako pokonani?"
"COMBAT.TargetedBy","Targeted by {list}","Namierzany przez {list}"
"COMBAT.ToggleTargeting","Toggle Targeting","Przełącz Namierzanie"
"COMBAT.UnknownCombatant","Unknown Participant","Nieznany Uczestnik"
"COMPENDIUM.MigrationStatus","Migration Status","Status Migracji"
"CONTROLS.AdjustSceneDarkness","Adjust Scene Darkness","Dostosuj Poziom Ciemności Scen"
"CONTROLS.EffectPanel","Effects Panel","Panel Efektów"
"CONTROLS.WorldClock","World Clock","Zegar Świata"
"DOCUMENT.Combat","Encounter","Starcie"
"DOCUMENT.Combats","Encounters","Starcia"
"PF2E.AbilityBoost","Attribute Boost","Rozwój Cechy"
"PF2E.AbilityBoostLevels","Attribute Boost Levels","Poziomy Rozwoju Cech"
"PF2E.AbilityCha","Charisma","Charyzma"
"PF2E.AbilityCheck.cha","Charisma Check","Test Charyzmy"
"PF2E.AbilityCheck.con","Constitution Check","Test Kondycji"
"PF2E.AbilityCheck.dex","Dexterity Check","Test Zręczności"
"PF2E.AbilityCheck.int","Intelligence Check","Test Inteligencji"
"PF2E.AbilityCheck.str","Strength Check","Test Siły"
"PF2E.AbilityCheck.wis","Wisdom Check","Test Mądrości"
"PF2E.AbilityCon","Constitution","Kondycja"
"PF2E.AbilityDex","Dexterity","Zręczność"
"PF2E.AbilityFlaw","Flaw","Wada"
"PF2E.AbilityFree","Free","Dowolne"
"PF2E.AbilityId.cha","Cha","Cha"
"PF2E.AbilityId.con","Con","Kon"
"PF2E.AbilityId.dex","Dex","Zrc"
"PF2E.AbilityId.int","Int","Int"
"PF2E.AbilityId.str","Str","Sił"
"PF2E.AbilityId.wis","Wis","Mdr"
"PF2E.AbilityInt","Intelligence","Inteligencja"
"PF2E.AbilityModifierLabel","Attribute Modifier","Modyfikator Cechy"
"PF2E.AbilityStr","Strength","Siła"
"PF2E.AbilityTitle","Attribute","Cecha"
"PF2E.AbilityWis","Wisdom","Mądrość"
"PF2E.AccessoryPropertyRuneCalled","Called","Przywoływania"
"PF2E.AccessoryPropertyRuneDragonsBreath","Dragon's Breath","Smoczego Oddechu"
"PF2E.AccessoryPropertyRuneGreaterPaired","Greater Paired","Większa Sparowania"
"PF2E.AccessoryPropertyRuneGreaterWindCatcher","Greater Wind-Catcher","Większa Wiatrołapania"
"PF2E.AccessoryPropertyRuneMajorPaired","Major Paired","Główna Sparowania"
"PF2E.AccessoryPropertyRunePaired","Paired","Sparowania"
"PF2E.AccessoryPropertyRunePresentable","Presentable","Schludności"
"PF2E.AccessoryPropertyRuneSnagging","Snagging","Chwytu"
"PF2E.AccessoryPropertyRuneSoftLanding","Soft-Landing","Miękkiego Lądowania"
"PF2E.AccessoryPropertyRuneSpellBastion","Spell-Bastion","Ostoi Zaklęć"
"PF2E.AccessoryPropertyRuneWindCatcher","Wind-Catcher","Wiatrołapania"
"PF2E.Action.RestForTheNight.Label","Rest for the Night","Udaj się na Spoczynek"
"PF2E.Action.RestForTheNight.Message.Awakens","{actor} awakens well-rested.","{actor} budzi się po nocy zdrowego snu."
"PF2E.Action.RestForTheNight.Message.ConditionReduced","{condition} reduced by 1.","Stan {condition} zmniejszył wartość o 1."
"PF2E.Action.RestForTheNight.Message.ConditionRemoved","No longer {condition}.","Stan {condition} zakończył się."
"PF2E.Action.RestForTheNight.Message.FocusPoints","Focus points restored.","Zregenerowano punkty skupienia."
"PF2E.Action.RestForTheNight.Message.Frequencies","Action frequencies refreshed.","Odświeżono częstotliwość akcji."
"PF2E.Action.RestForTheNight.Message.HitPoints","{hitPoints} hit points restored.","Zregenerowano {hitPoints} punktów żywotności."
"PF2E.Action.RestForTheNight.Message.HitPointsSingle","{hitPoints} hit point restored.","Zregenerowano {hitPoints} punkt żywotności."
"PF2E.Action.RestForTheNight.Message.InfusedReagents","Infused reagents restored.","Zregenerowano nasycone odczynniki."
"PF2E.Action.RestForTheNight.Message.Resolve","Resolve restored.","Przywrócono determinację."
"PF2E.Action.RestForTheNight.Message.SpellSlots","All spell slots restored.","Zregenerowano wszystkie komórki zaklęć."
"PF2E.Action.RestForTheNight.Message.StaminaPoints","Stamina points restored.","Zregenerowano punkty wytrwałości."
"PF2E.Action.RestForTheNight.Message.TemporaryItems","Temporary items removed.","Usunięto tymczasowe przedmioty."
"PF2E.Action.RestForTheNight.Message.WandsCharges","Wands recharged.","Różdżki odzyskały łądunki."
"PF2E.Action.RestForTheNight.Prompt","Rest for the night?","Odpocząć tej nocy?"
"PF2E.Action.Strike.MeleeLabel","Melee Strike: {weapon}","Cios w Zwarciu: {weapon}"
"PF2E.Action.Strike.OutOfRange","The target is out of range.","Cel znajduje się poza zasięgiem."
